datum,attribuut,Pre Triply import,Post Triply import
2025-02-24,choId,450973.0,557676.0
2025-02-24,typeCho,2.0,2.0
2025-02-24,vertrouwelijkheidPreflabel,2.0,2.0
2025-02-24,vertrouwelijkheidUri,2.0,2.0
2025-02-24,objectnummer,450973.0,557676.0
2025-02-24,basisregistratieId,102103.0,94382.0
2025-02-24,bagRelatieId,102103.0,94382.0
2025-02-24,plaatsnaam,3492.0,0.0
2025-02-24,geometrieId,101847.0,135996.0
2025-02-24,WKT,98589.0,129210.0
2025-02-24,kennisregistratienummer,765953.0,350341.0
2025-02-24,typeKennis,3.0,3.0
2025-02-24,zaakId,58503.0,84128.0
2025-02-24,kennisVertrouwelijkheidPreflabel,2.0,2.0
2025-02-24,kennisVertrouwelijkheidUri,2.0,2.0
2025-02-24,formeelStandpunt,1.0,1.0
2025-02-24,kennisOmschrijvingPreflabel,1.0,
2025-02-24,kennisOmschrijvingUri,1.0,
2025-02-24,registratiedatum,51136.0,59293.0
2025-02-24,identificatie,348870.0,350342.0
2025-02-24,samenhangChoId,96675.0,96785.0
2025-02-24,samenhangTypeCho,2.0,2.0
2025-02-24,samenhangRelatiePreflabel,1.0,1.0
2025-02-24,samenhangRelatieUri,1.0,1.0
2025-02-24,samenhangToelichting,0.0,4.0
2025-02-24,typekenmerkPreflabel,1.0,1.0
2025-02-24,typekenmerkUri,1.0,1.0
2025-02-24,typennaamPreflabel,137.0,140.0
2025-02-24,typennaamUri,127.0,130.0
2025-02-24,typeRegistratiedatum,14971.0,
2025-02-24,gebeurtenisBegindateringPreflabel,63.0,
2025-02-24,gebeurtenisBegindateringUri,63.0,
2025-02-24,gebeurtenisEinddateringPreflabel,62.0,
2025-02-24,gebeurtenisEinddateringUri,62.0,
2025-02-24,gebeurtenisNaamPreflabel,1.0,
2025-02-24,gebeurtenisNaamUri,1.0,
2025-02-24,gebeurtenisRegistratiedatum,14971.0,
2025-02-24,besluit,,1.0
2025-02-24,WKTRD,,129212.0
